Id,Label,timeset,isseed,seedrank,publishedat,channeltitle,channelid,videocategorylabel,viewcount,likecount,dislikecount,dislikelikeratio,favoritecount,commentcount,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,filter_cluster 4
ORVEO2KgZLQ,El Arte del Robo pelicula completa latino,,yes,1,1453733977,Vladimir Pantoja,UCP-6YMHMnrs5SJ2lDXAutiA,Comedy,18183,38,7,0.184211,0,7,5,7,12,4,0.428571,0.510684,97.982287,1,false
__DWdSx_V5M,El arte del robo  ¡No te fíes de los magos!,,yes,2,1423923751,pallares6,UClJu4p9Hto8SKs02d_owi0Q,Entertainment,36509,204,11,0.053922,0,4,19,6,25,4,0.40625,0.480769,21.84494,4,true
kUkgByL7UuQ,el arte de un robo,,yes,3,1408751439,leonardo martino,UCWhzOlNov76ME_svkWssC0A,Film & Animation,461261,873,113,0.129439,0,0,17,4,21,4,0.410526,0.467949,64.368709,4,true
iQWBe4LRdFg,El arte de robar,,yes,4,1448236346,Juan Medina,UCBhVU8gcSdNi_nlXhfq2PcA,People & Blogs,15779,88,9,0.102273,0,10,23,17,40,3,0.609375,0.705128,306.18978,3,false
6ojUA3PmtZ4,The Arte de Robar 2009 Como trasladaron la colección de arte de la foundation Barnes a Philadelphia,,yes,5,1457644928,Mabel Vilchez,UC6qLakPewXooNypfdMHlq8w,People & Blogs,1286,15,0,0,0,0,4,9,13,3,0.527027,0.594017,28.828139,1,false
BfGrfZEJ2bU,EL ARTE DEL ROBO,,yes,6,1454081484,Malla De Remate,UCLgasPtcur_pHSjXD-ULYcQ,People & Blogs,263,0,0,,0,0,3,16,19,3,0.6,0.692308,28.598363,0,false
B5hlAaQUIRY,Apollo Robbins nos enseña a  robar  con estilo en El Hormiguero 3.0,,yes,7,1427237146,Antena 3,UC84t25xqhPEPpGY7NBZJ_eA,News & Politics,800043,7277,133,0.018277,0,185,22,1,23,1,1,1,3.245635,2,false
vY5jShsuc_g,EL ARTE DE ROBAR,,yes,8,1439917433,EfectoNaim,UCiaMgGKzjWqZyaK6g5iNMeg,News & Politics,846,6,0,0,0,1,17,3,20,3,0.526316,0.616667,14.912607,2,false
VB1D4mdJri0,El Arte De Robar Trailer 2014,,yes,9,1397786769,Cearbu Producciones,UCMjewKQjqkQmMNJ3HPDsbYA,People & Blogs,62583,26,2,0.076923,0,0,16,9,25,4,0.47561,0.561966,44.777985,4,true
7GfoyOLy4r8,Focus - Tráiler Teaser en español HD,,yes,10,1413454092,Warner Bros. Pictures España,UCm8qFuubCgKlxdgMt_2WZBQ,Film & Animation,1941436,3609,194,0.053755,0,186,7,0,7,0,0,0,0,1,false
OYS4dvBXB6w,El arte de robar,,yes,11,1464521924,Natalia Gonzalez,UCPPHfEKd8IVqWMTG1sTocjg,People & Blogs,133,0,0,,0,0,10,6,16,2,0.714286,0.8,68.19652,2,false
Lf17D21IbSI,Sobre el arte de robar,,yes,12,1397293415,MuchoBarato,UCsPCOk4t2LI0A4Hf_hspb1Q,People & Blogs,1597,11,1,0.090909,0,3,17,17,34,4,0.565217,0.685897,103.739424,4,true
jTKMDJ8aLJA,EL ARTE DE ROBAR,,yes,13,1422623572,DASDELVIDEO,UCRfk60gpMn5HLjCs5Rji6JA,People & Blogs,307,0,0,,0,0,11,22,33,3,0.684211,0.777778,89.600698,4,true
tOMgCKBuYik,EL ARTE DE ROBAR LO MEJOR DEL CINE,,yes,14,1405879930,PELICULASPARATUGUSTO,UCmYN7m1bqnwzEquHw29R0Bg,Film & Animation,77,0,0,,0,0,0,1,1,5,0.296296,0.325417,0,4,true
qK2ruphqUPM,El arte de robar... hasta textos - #PeriodismoDeCero,,yes,15,1472599690,PeriodismoDeCero,UC8n-lh6rfA0CKsr2gpwXe2g,News & Politics,3163,256,5,0.019531,0,25,12,8,20,2,0.833333,0.9,53.233639,2,false
4kUrvgCUBMc,El arte de robar,,yes,16,1302372623,Mouad Saoud,UCdtmHwXvGgQUvXcnzh2YNTg,Entertainment,2588,1,2,2,0,0,0,17,17,4,0.555556,0.677083,0,3,false
_GehsgetDxs,Vino Para Robar - Español Latino 2013,,yes,17,1506183082,Víctor Serrano,UCIneoRPtqvzbmX3-AdA-14w,Education,3136,21,2,0.095238,0,0,2,1,3,5,0.302326,0.335897,0.666667,1,false
oddqhG0Du8U,Yo también se ROBAR bueno no es robar es un arte dice mando policíaco de la #CDMX,,yes,18,1477029149,Operaciones Especiales Mexico,UCcxaVV-q78bP3XkAAlfOjwg,People & Blogs,37051,32,5,0.15625,0,37,6,5,11,4,0.397959,0.463675,18.369444,3,false
nUJ5paWWJig,El arte de robar con palillos chinos,,yes,19,1312327613,modnetTV,UCMYYXgM7vqRWMD-1d00h23g,News & Politics,35274,15,2,0.133333,0,9,18,7,25,4,0.4875,0.553419,46.938622,3,false
RhAMV7RJM0c,Un plan perfecto (Gambit) - Trailer español,,yes,20,1360461031,Aatrailer películas,UCWqjK49b9czOVh_bv7eQztg,Film & Animation,8229,8,0,0,0,0,8,5,13,5,0.39,0.462393,1.948016,4,true
